timestamp,ECG_CH1
1763969125.1326752,-380774
1763969125.1391916,-380649
1763969125.1483297,-380188
1763969125.1493015,-381111
1763969125.1625435,-379947
1763969125.1635692,-380781
1763969125.1828594,-381089
1763969125.1899157,-380884
1763969125.192054,-381388
1763969125.214825,-379851
1763969125.2154903,-381104
1763969125.2321577,-381412
1763969125.2413573,-380807
1763969125.2599003,-381466
1763969125.2614253,-379881
1763969125.26247,-381156
1763969125.2634647,-381042
1763969125.26483,-380571
1763969125.271377,-381574
1763969125.2735915,-380317
1763969125.2818546,-381401
1763969125.2818546,-381433
1763969125.295161,-379967
1763969125.3129246,-380656
1763969125.3129246,-379695
1763969125.3254702,-379286
1763969125.3272223,-378341
1763969125.3324583,-374858
1763969125.3416457,-376890
1763969125.3647425,-378214
1763969125.3661132,-379324
1763969125.3670588,-380480
1763969125.3805714,-379841
1763969125.3815842,-380900
1763969125.394416,-381469
1763969125.396434,-380745
1763969125.4156637,-381583
1763969125.419899,-380431
1763969125.4212582,-382272
1763969125.4421852,-383317
1763969125.445893,-377596
1763969125.4499614,-367905
1763969125.4515219,-359189
1763969125.47162,-339573
1763969125.4751542,-333371
1763969125.498226,-345707
1763969125.4998987,-380368
1763969125.501267,-385115
1763969125.5215516,-381779
1763969125.5244443,-380680
1763969125.529795,-377581
1763969125.531007,-378998
1763969125.5325315,-378556
1763969125.5367806,-377610
1763969125.5644624,-378012
1763969125.5664828,-376312
1763969125.5664828,-377241
1763969125.5817347,-376773
1763969125.5903783,-375564
1763969125.613581,-375924
1763969125.614571,-374057
1763969125.6312356,-374984
1763969125.6320171,-374253
1763969125.6339693,-372791
1763969125.6372888,-373405
1763969125.638979,-372964
1763969125.645979,-371536
1763969125.6473274,-371439
1763969125.6588695,-369491
1763969125.6612694,-369919
1763969125.6659918,-369135
1763969125.682312,-368131
1763969125.682312,-368808
1763969125.699465,-367145
1763969125.7016153,-368464
1763969125.7214665,-369241
1763969125.7238052,-369736
1763969125.729051,-371437
1763969125.7317247,-371967
1763969125.7556403,-374448
1763969125.7600868,-375264
1763969125.763651,-375749
1763969125.7947118,-377021
1763969125.795713,-375725
1763969125.7967181,-376297
1763969125.7977128,-377066
1763969125.8205383,-375613
1763969125.821539,-377046
1763969125.824789,-376939
1763969125.826355,-376196
1763969125.8283677,-376599
1763969125.8445342,-375349
1763969125.8457265,-376011
1763969125.8539855,-376274
1763969125.8551064,-375692
1763969125.865507,-376342
1763969125.8789577,-375252
1763969125.8800526,-376249
1763969125.9015174,-376110
1763969125.9043734,-375572
1763969125.9315913,-376617
1763969125.9315913,-375482
1763969125.9583063,-376565
1763969125.9825904,-376676
1763969125.9869564,-376351
1763969125.9879708,-376825
1763969125.9899735,-376801
1763969125.9914904,-376245
1763969125.9940546,-377442
1763969125.9960935,-376170
1763969125.997102,-376852
1763969126.004767,-377296
1763969126.0061803,-377018
1763969126.0068173,-377590
1763969126.0170162,-376777
1763969126.0212922,-377995
1763969126.0455883,-377965
1763969126.0467448,-377371
1763969126.0478828,-378445
1763969126.0680315,-377071
1763969126.0691578,-377851
1763969126.0746503,-378140
1763969126.0764737,-377749
1763969126.097393,-378621
1763969126.0987785,-377287
1763969126.1144989,-378113
1763969126.1155055,-378767
1763969126.1155055,-377814
1763969126.1513746,-379164
1763969126.1513746,-378566
1763969126.1513746,-377792
1763969126.1513746,-377954
1763969126.1626422,-375673
1763969126.1626422,-374058
1763969126.1962845,-375141
1763969126.197269,-375771
1763969126.1982625,-378535
1763969126.1982625,-377825
1763969126.20198,-379205
1763969126.211626,-379586
1763969126.2172425,-379808
1763969126.2298071,-380774
1763969126.2313144,-379374
1763969126.2604504,-380439
1763969126.2624938,-380678
1763969126.263507,-382135
1763969126.2834792,-379171
1763969126.2882354,-373872
1763969126.289245,-360189
1763969126.2910538,-341516
1763969126.3143897,-331569
1763969126.3619244,-342314
1763969126.3619244,-375873
1763969126.3619244,-383471
1763969126.3712232,-381989
1763969126.372289,-379298
1763969126.373263,-379151
1763969126.3756964,-378744
1763969126.3756964,-378252
1763969126.3756964,-378138
